Model,Resampling,Oversampling Quantity,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
DTC,BorderlineSMOTE-1,0%,0.812554132,0.001743321,0.815740876,0.002310507,0.812850786,4.82708E-06,0.988392252,0.000461944,0.896170094,0.000751939
DTC,BorderlineSMOTE-1,10%,0.809137591,0.002694784,0.814272918,0.001364653,0.810785138,0.002139727,0.988629165,0.000113973,0.894390656,0.001437807
DTC,BorderlineSMOTE-1,20%,0.797226187,0.007305617,0.806369207,0.003571131,0.80025203,0.005559323,0.987880978,0.000159629,0.887439366,0.00413794
DTC,BorderlineSMOTE-1,30%,0.792723477,0.001707317,0.800454532,0.00114896,0.794527918,0.002417029,0.987957361,0.00028855,0.884972495,0.001082235
DTC,BorderlineSMOTE-1,40%,0.779611837,0.006748064,0.790206783,0.008827574,0.783566034,0.007205649,0.986776551,0.000635092,0.877091975,0.004078225
DTC,BorderlineSMOTE-1,50%,0.784925472,0.004591317,0.797431676,0.000787617,0.789085789,0.003971624,0.987523157,0.000400205,0.880412595,0.002753347
DTC,BorderlineSMOTE-1,60%,0.775502925,0.002366152,0.781361504,0.003624669,0.776951201,0.00254511,0.986338661,0.000314901,0.874589669,0.001473853
DTC,BorderlineSMOTE-1,70%,0.77002632,0.002291453,0.779574045,0.003491052,0.772891868,0.003653054,0.9859509,0.000393544,0.871324269,0.001122556
DTC,BorderlineSMOTE-1,80%,0.780417827,0.002000955,0.787999425,0.000364735,0.783099522,0.001420717,0.986815758,0.000617144,0.877568602,0.000850614
DTC,BorderlineSMOTE-1,90%,0.765108726,0.000434961,0.774102856,0.001713215,0.767128056,0.001355835,0.985739492,0.000446751,0.86844556,5.0058E-05
DTC,BorderlineSMOTE-1,100%,0.776057898,0.00728913,0.78605179,0.009612186,0.77904845,0.007304949,0.98651354,0.000805999,0.874972885,0.004466611
DTC,SMOTE,0%,0.810507078,0.004064272,0.815745994,0.000387739,0.811735456,0.002166428,0.988533184,0.000548319,0.895101631,0.001996003
DTC,SMOTE,10%,0.799415573,0.006208233,0.808530294,0.003912863,0.802514328,0.005159132,0.987902358,0.000381938,0.888669667,0.003622524
DTC,SMOTE,20%,0.801054023,0.007572785,0.809915243,0.006175566,0.803578252,0.007164492,0.988285297,0.000645926,0.889749733,0.004496486
DTC,SMOTE,30%,0.791207619,0.008956181,0.80317767,0.005342635,0.795439278,0.007761116,0.987971061,0.00065557,0.884119924,0.005297437
DTC,SMOTE,40%,0.806385156,0.008247659,0.812859202,0.006281108,0.808014095,0.007971484,0.988677343,0.000595158,0.892880879,0.004835024
DTC,SMOTE,50%,0.796964852,7.70547E-05,0.805639059,0.000785383,0.799502264,0.000105877,0.987988236,7.09024E-05,0.887351054,1.10568E-05
DTC,SMOTE,60%,0.786444471,0.004571689,0.796820339,0.001879668,0.789854625,0.003514447,0.987457323,5.7042E-05,0.881234169,0.002535925
DTC,SMOTE,70%,0.796011594,0.0023998,0.804075132,0.007032785,0.79842314,0.004074222,0.988422531,0.00018008,0.887014214,0.001417882
DTC,SMOTE,80%,0.788752411,0.005405383,0.79748697,0.000660437,0.791590197,0.003340847,0.987704889,0.000187731,0.882635806,0.003108301
DTC,SMOTE,90%,0.788624435,7.33534E-05,0.795996043,0.000820961,0.790949106,2.99927E-05,0.987470462,0.000136296,0.882464348,1.98604E-05
DTC,SMOTE,100%,0.790663413,0.007316385,0.799444948,0.005297265,0.793367418,0.006758232,0.988060251,0.000786696,0.883860351,0.004441335
DTC,BorderlineSMOTE-2,0%,0.810365643,0.001192834,0.815999603,0.001175286,0.811679762,0.000961931,0.988777545,0.000496267,0.89513718,0.000434174
DTC,BorderlineSMOTE-2,10%,0.807905949,0.002009143,0.815713734,0.00115281,0.809535734,0.001002309,0.988212311,0.000161456,0.893521797,0.001038038
DTC,BorderlineSMOTE-2,20%,0.790125937,0.001574855,0.79538921,0.000353536,0.791528482,0.000952437,0.987243984,0.000370025,0.88320245,0.001045702
DTC,BorderlineSMOTE-2,30%,0.785884114,0.003632676,0.794944929,0.002565566,0.788549982,0.003242126,0.98728986,0.00051387,0.880847406,0.002265061
DTC,BorderlineSMOTE-2,40%,0.783848276,0.005524498,0.794178952,0.007501617,0.786607581,0.005195855,0.987799983,0.00053187,0.879930174,0.003337767
DTC,BorderlineSMOTE-2,50%,0.772363422,0.005505655,0.779688222,0.010891189,0.773918668,0.007519062,0.985629508,0.001147427,0.872500664,0.003617628
DTC,BorderlineSMOTE-2,60%,0.783279395,0.007875396,0.788538133,0.0083481,0.784861373,0.008262551,0.98687503,0.000491547,0.87919351,0.004638939
DTC,BorderlineSMOTE-2,70%,0.777702181,0.009479413,0.790344425,0.015487726,0.781929693,0.01138318,0.986748103,0.001272776,0.875998494,0.00590391
DTC,BorderlineSMOTE-2,80%,0.779999803,0.006786984,0.787164457,0.0030965,0.782121985,0.005436452,0.986347857,0.000432249,0.877119149,0.004008282
DTC,BorderlineSMOTE-2,90%,0.768246434,0.003798338,0.778389869,0.001215713,0.771605825,0.003182313,0.986022766,0.000379166,0.870347366,0.002318925
DTC,BorderlineSMOTE-2,100%,0.770723626,0.006049861,0.781602975,0.010156436,0.7738289,0.006894346,0.986384311,0.000238671,0.871905208,0.003527584
