Model,Resampling,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
DTC,CluCen,0.615492262,0.029791881,0.678680994,0.028342965,0.631001396,0.028775965,0.981124095,0.001634529,0.776879976,0.019350167
DTC,ConNN,0.183249093,0.03561046,0.211942097,0.061170118,0.173744278,0.047369289,0.95561644,0.003437656,0.416491944,0.042087409
DTC,RUS,0.709587538,0.015331152,0.769916985,0.008866769,0.72882703,0.012357204,0.986346247,0.000668156,0.836550814,0.009075993
DTC,NCR,0.839801813,0.01719055,0.841715208,0.018762208,0.837628916,0.015925714,0.990278504,0.000836784,0.911897684,0.009712353
DTC,EdNN,0.832678725,0.013353888,0.833424129,0.015963714,0.826486095,0.013793782,0.989106026,0.001018774,0.907501855,0.007607513
DTC,AllKNN,0.835138614,0.010093482,0.838196204,0.009750325,0.835138283,0.010248159,0.990137908,0.000909793,0.909327283,0.005881406
DTC,ReEdNN,0.83472947,0.008829131,0.832754753,0.015722865,0.829298116,0.010998507,0.989703895,0.000942283,0.908909017,0.00521536
DTC,IHT,0.622263986,0.011938937,0.734630881,0.008366725,0.656471516,0.008423239,0.982454865,0.001262357,0.781852267,0.007795439
DTC,NearMiss,0.528635723,0.026205308,0.676166426,0.025076784,0.549680701,0.02429893,0.981505493,0.002237404,0.72010524,0.018239164
DTC,OSS,0.561030791,0.017513842,0.57208372,0.03579953,0.538748253,0.028788865,0.973948507,0.002113186,0.739116548,0.01207466
DTC,TomL,0.83076484,0.013161378,0.833962467,0.014874014,0.83072342,0.013657957,0.989755106,0.001051914,0.906757102,0.007616959
MLP,CluCen,0.912092544,0.016075921,0.921241451,0.014168895,0.914139738,0.015762074,0.995413875,0.001001881,0.952810227,0.008830068
MLP,ConNN,0.441657832,0.053572706,0.555713587,0.053951477,0.447783864,0.043657742,0.971014289,0.003880654,0.653730211,0.040694404
MLP,RUS,0.814268951,0.022986893,0.853878538,0.006277804,0.823153255,0.020726979,0.991665704,0.000373323,0.89851146,0.01288907
MLP,NCR,0.927416097,0.007756617,0.927350005,0.00715963,0.923202892,0.008023942,0.99576133,0.000404102,0.960973216,0.004089056
MLP,EdNN,0.916763859,0.009540859,0.915545777,0.007449534,0.90930813,0.011589696,0.994864923,0.000818666,0.955004719,0.005245542
MLP,AllKNN,0.930018808,0.011341313,0.930601046,0.010725784,0.926741859,0.012236956,0.995866309,0.000824987,0.962363642,0.006199609
MLP,ReEdNN,0.914971657,0.007179259,0.910808255,0.006290858,0.907476206,0.009699481,0.9946146,0.000875898,0.953955914,0.00401582
MLP,IHT,0.683275138,0.029876663,0.773079832,0.012682827,0.703244802,0.021212355,0.985597078,0.001773568,0.820426537,0.017441356
MLP,NearMiss,0.646764411,0.035246811,0.766706925,0.02131152,0.667246843,0.03731414,0.985885666,0.001142868,0.798230701,0.022425821
MLP,OSS,0.713537065,0.089748116,0.748481607,0.081008217,0.691869502,0.095564691,0.980888275,0.009201279,0.835151698,0.05582025
MLP,TomL,0.940552031,0.010831573,0.942322935,0.010018645,0.939563697,0.011246427,0.996675956,0.000726354,0.968193182,0.005890752
SVM,CluCen,0.926713094,0.012185391,0.935901894,0.009495042,0.928661994,0.011812066,0.996572237,0.000602974,0.960989064,0.006559047
SVM,ConNN,0.832612975,0.030346583,0.867459426,0.016216475,0.840692265,0.02398443,0.992576476,0.001165129,0.908938309,0.016864347
SVM,RUS,0.90252299,0.012358908,0.926134375,0.008932512,0.909343296,0.011159928,0.996318743,0.000627214,0.948241535,0.006744624
SVM,NCR,0.919060364,0.008857254,0.913130515,0.013223699,0.909793438,0.008736011,0.995319695,0.00033659,0.956419627,0.004687971
SVM,EdNN,0.901856287,0.010630182,0.890453157,0.015477602,0.885572079,0.010770122,0.994074574,0.000801901,0.946828639,0.005893767
SVM,AllKNN,0.92235256,0.008685198,0.92600536,0.008457504,0.915369106,0.007961869,0.995629978,0.000577483,0.958281384,0.004694198
SVM,ReEdNN,0.902950018,0.010129742,0.890688975,0.015397016,0.886344134,0.010801813,0.994027862,0.000803139,0.947381865,0.005635762
