Model,Resampling,Oversampling Quantity,SNS,SNS STD,PRE,PRE STD,F1,F1 STD,SPC,SPC STD,GMN,GMN STD
LRC,RandomOversampler,0%,0.933141335,0.002926998,0.930872425,0.003126673,0.93009865,0.002841506,0.995991903,0.000116121,0.964053421,0.001537957
LRC,RandomOversampler,10%,0.930818091,0.003089066,0.932026483,0.003592466,0.930919199,0.003257272,0.996306605,0.000193153,0.963004555,0.001638796
LRC,RandomOversampler,20%,0.928493351,0.003279771,0.931614325,0.002739583,0.929345311,0.003018567,0.996390133,0.00014897,0.961841324,0.001707084
LRC,RandomOversampler,30%,0.925758308,0.004853013,0.930812599,0.004111297,0.927367778,0.004534818,0.996377442,0.000275572,0.960415947,0.002605216
LRC,RandomOversampler,40%,0.92534866,0.003923881,0.932193105,0.003585757,0.927494952,0.003679462,0.996507677,0.000243768,0.960267208,0.002098353
LRC,RandomOversampler,50%,0.925075529,0.004935445,0.93126785,0.004912005,0.926863029,0.004846932,0.996378264,0.000253534,0.960061925,0.002629878
LRC,RandomOversampler,60%,0.923981606,0.003544816,0.931159158,0.002036283,0.926069702,0.002827147,0.996456117,0.000171299,0.959533024,0.00181572
LRC,RandomOversampler,70%,0.923024668,0.00497303,0.931081472,0.003689621,0.92545634,0.004473682,0.996430182,0.000208119,0.959022005,0.002638182
LRC,RandomOversampler,80%,0.924117843,0.003571031,0.931694653,0.003762171,0.92625425,0.003407856,0.996450476,0.000261308,0.959601163,0.001906109
LRC,RandomOversampler,90%,0.920836914,0.003571704,0.929281637,0.003155491,0.923298841,0.003373092,0.996337222,0.000178038,0.957841707,0.001891207
LRC,RandomOversampler,100%,0.918786052,0.00620857,0.928180534,0.006098853,0.921477253,0.005838104,0.996304279,0.000312354,0.956755211,0.003325726
LRC,SMOTE,0%,0.933141335,0.002926998,0.930872425,0.003126673,0.93009865,0.002841506,0.995991903,0.000116121,0.964053421,0.001537957
LRC,SMOTE,10%,0.927399615,0.005524588,0.929192787,0.004522562,0.92772808,0.005259616,0.996140586,0.000251384,0.961151747,0.002951759
LRC,SMOTE,20%,0.926579195,0.004939832,0.93047712,0.005002082,0.927830836,0.004887898,0.996352417,0.000266736,0.960829508,0.002659144
LRC,SMOTE,30%,0.92575915,0.003826372,0.930659325,0.003272841,0.927260683,0.003604186,0.996366645,0.000164257,0.960412302,0.002039565
LRC,SMOTE,40%,0.925486019,0.005408311,0.931641618,0.00547431,0.927325123,0.005288753,0.996419441,0.000341018,0.960294158,0.002902463
LRC,SMOTE,50%,0.924254829,0.002046818,0.930802972,0.002796281,0.926156825,0.002126733,0.996398029,0.00022445,0.959648169,0.001095818
LRC,SMOTE,60%,0.926442677,0.007042854,0.932672802,0.005605051,0.928281847,0.00661027,0.996523916,0.000203953,0.960837838,0.003729092
LRC,SMOTE,70%,0.923297798,0.003217286,0.929971933,0.003388208,0.925183354,0.003062797,0.99634365,0.000164847,0.959124167,0.001695892
LRC,SMOTE,80%,0.921520441,0.004308716,0.928809078,0.003314419,0.923615494,0.003919498,0.996268318,0.000234296,0.958163249,0.002298299
LRC,SMOTE,90%,0.922067075,0.004639154,0.929881465,0.005382538,0.924248134,0.004680549,0.996350361,0.000412567,0.958486603,0.002531281
LRC,SMOTE,100%,0.922204155,0.004721078,0.930189062,0.004261378,0.92451417,0.004460075,0.996352898,0.000274483,0.958558903,0.002546537
LRC,BorderlineSMOTE-1,0%,0.933141335,0.002926998,0.930872425,0.003126673,0.93009865,0.002841506,0.995991903,0.000116121,0.964053421,0.001537957
LRC,BorderlineSMOTE-1,10%,0.92671562,0.00355468,0.927562397,0.003021791,0.926465746,0.003276894,0.996040539,0.000149353,0.96075131,0.001887856
LRC,BorderlineSMOTE-1,20%,0.926032374,0.006133707,0.929185573,0.004974211,0.926917621,0.005759463,0.996186316,0.000251103,0.960464028,0.003260757
LRC,BorderlineSMOTE-1,30%,0.921656866,0.006624144,0.926197284,0.004808582,0.922749171,0.005942356,0.995960742,0.000252174,0.958082747,0.003492045
LRC,BorderlineSMOTE-1,40%,0.918922945,0.005157243,0.924806164,0.004076378,0.920570019,0.00462473,0.995937644,0.000166918,0.956651925,0.00271622
LRC,BorderlineSMOTE-1,50%,0.918239137,0.005372948,0.924988234,0.003684928,0.920034137,0.004640901,0.995973558,0.000122698,0.956312786,0.002813132
LRC,BorderlineSMOTE-1,60%,0.917828366,0.00789837,0.924801994,0.00615648,0.919790473,0.007385392,0.995987736,0.000462319,0.956101556,0.004276393
LRC,BorderlineSMOTE-1,70%,0.914684329,0.005852067,0.922895601,0.005451253,0.916913202,0.005669406,0.995916553,0.000320204,0.954432046,0.003157779
LRC,BorderlineSMOTE-1,80%,0.90962492,0.004489546,0.918930081,0.004897398,0.911860349,0.004374282,0.995615296,0.000468744,0.951646691,0.002462478
LRC,BorderlineSMOTE-1,90%,0.910581578,0.006920651,0.920703072,0.006420804,0.913030413,0.006379003,0.995694608,0.000387801,0.952181116,0.003736994
LRC,BorderlineSMOTE-1,100%,0.908257679,0.004693198,0.918450274,0.005427557,0.910948234,0.004460117,0.995535926,0.000381667,0.950892957,0.002529307
LRC,BorderlineSMOTE-2,0%,0.933141335,0.002926998,0.930872425,0.003126673,0.93009865,0.002841506,0.995991903,0.000116121,0.964053421,0.001537957
LRC,BorderlineSMOTE-2,10%,0.92671562,0.00355468,0.927562397,0.003021791,0.926465746,0.003276894,0.996040539,0.000149353,0.96075131,0.001887856
LRC,BorderlineSMOTE-2,20%,0.926032374,0.006133707,0.929185573,0.004974211,0.926917621,0.005759463,0.996186316,0.000251103,0.960464028,0.003260757
LRC,BorderlineSMOTE-2,30%,0.921656866,0.006624144,0.926197284,0.004808582,0.922749171,0.005942356,0.995960742,0.000252174,0.958082747,0.003492045
LRC,BorderlineSMOTE-2,40%,0.918922945,0.005157243,0.924806164,0.004076378,0.920570019,0.00462473,0.995937644,0.000166918,0.956651925,0.00271622
LRC,BorderlineSMOTE-2,50%,0.918239137,0.005372948,0.924988234,0.003684928,0.920034137,0.004640901,0.995973558,0.000122698,0.956312786,0.002813132
LRC,BorderlineSMOTE-2,60%,0.917828366,0.00789837,0.924801994,0.00615648,0.919790473,0.007385392,0.995987736,0.000462319,0.956101556,0.004276393
LRC,BorderlineSMOTE-2,70%,0.914684329,0.005852067,0.922895601,0.005451253,0.916913202,0.005669406,0.995916553,0.000320204,0.954432046,0.003157779
LRC,BorderlineSMOTE-2,80%,0.90962492,0.004489546,0.918930081,0.004897398,0.911860349,0.004374282,0.995615296,0.000468744,0.951646691,0.002462478
LRC,BorderlineSMOTE-2,90%,0.910581578,0.006920651,0.920703072,0.006420804,0.913030413,0.006379003,0.995694608,0.000387801,0.952181116,0.003736994
LRC,BorderlineSMOTE-2,100%,0.908257679,0.004693198,0.918450274,0.005427557,0.910948234,0.004460117,0.995535926,0.000381667,0.950892957,0.002529307
LRC,SMOTETomek,0%,0.933141335,0.002926998,0.930872425,0.003126673,0.93009865,0.002841506,0.995991903,0.000116121,0.964053421,0.001537957
LRC,SMOTETomek,10%,0.929586994,0.003405945,0.930596807,0.002819685,0.929555918,0.003161564,0.996250914,0.000143102,0.962340333,0.001803744
LRC,SMOTETomek,20%,0.926988844,0.004810024,0.930296437,0.005032685,0.928021318,0.004891579,0.996273652,0.000352747,0.961004162,0.00263067
LRC,SMOTETomek,30%,0.926032467,0.003033585,0.930895789,0.003455452,0.927553564,0.003075783,0.996399513,0.000222965,0.960570658,0.001632548
LRC,SMOTETomek,40%,0.925895949,0.004990946,0.931734068,0.004770964,0.927618972,0.00486066,0.99638745,0.000323074,0.960491942,0.002672184
LRC,SMOTETomek,50%,0.924391628,0.003419196,0.930767495,0.003413443,0.92627257,0.003267984,0.996376859,0.000226199,0.959707981,0.00182163
LRC,SMOTETomek,60%,0.926305691,0.005560011,0.932614385,0.00437728,0.928157501,0.005207502,0.996504062,0.000249645,0.960759776,0.002944963
LRC,SMOTETomek,70%,0.923297518,0.002543702,0.930471161,0.003550284,0.925337963,0.002585198,0.996417314,0.000237241,0.959160044,0.001369379
LRC,SMOTETomek,80%,0.921520628,0.004217707,0.929222533,0.00328739,0.923715713,0.00371895,0.996290067,0.000250952,0.958173899,0.002246821
LRC,SMOTETomek,90%,0.922887869,0.004679871,0.930704738,0.005404776,0.925056178,0.004674224,0.996367068,0.000367525,0.958921041,0.002527743
LRC,SMOTETomek,100%,0.923297892,0.004220439,0.931488133,0.003881586,0.925595567,0.00396075,0.996481343,0.000230875,0.9591895,0.002241648
LRC,SMOTEENN,0%,0.933141335,0.002926998,0.930872425,0.003126673,0.93009865,0.002841506,0.995991903,0.000116121,0.964053421,0.001537957
LRC,SMOTEENN,10%,0.917965165,0.004436972,0.92354047,0.003872125,0.919185379,0.004389783,0.99583171,0.000559066,0.956103534,0.002438268
LRC,SMOTEENN,20%,0.918512267,0.002981047,0.928158597,0.00316449,0.921374893,0.002930926,0.996375679,0.000185337,0.956650894,0.001575913
LRC,SMOTEENN,30%,0.917146055,0.005681052,0.927705213,0.004716715,0.920107573,0.005412705,0.996417922,0.000249448,0.955956274,0.003030618
LRC,SMOTEENN,40%,0.918923225,0.0061608,0.930648643,0.006008879,0.922073199,0.006098692,0.996523912,0.000346294,0.956932211,0.003311478
LRC,SMOTEENN,50%,0.919743551,0.00356789,0.930165232,0.003308226,0.922603905,0.003307197,0.996450373,0.00030788,0.957327073,0.001806656
LRC,SMOTEENN,60%,0.920974554,0.008435696,0.931791776,0.007076263,0.924021218,0.007891502,0.996668725,0.000404988,0.958065067,0.004554239
LRC,SMOTEENN,70%,0.918512922,0.005312143,0.928898114,0.005525688,0.921488276,0.005070042,0.996492632,0.000214306,0.956704783,0.002833693
LRC,SMOTEENN,80%,0.919059557,0.004704177,0.929747839,0.00524052,0.922036826,0.0045797,0.996479621,0.000387695,0.956984158,0.002575489
LRC,SMOTEENN,90%,0.922751257,0.003530706,0.931949307,0.003554005,0.925234328,0.003393729,0.996608869,0.000163173,0.958967561,0.001857193
LRC,SMOTEENN,100%,0.920700582,0.004044975,0.930955836,0.003707403,0.92362529,0.003813057,0.996494008,0.00035479,0.957845705,0.002167634
LRC,SVMSMOTE,0%,0.933141335,0.002926998,0.930872425,0.003126673,0.93009865,0.002841506,0.995991903,0.000116121,0.964053421,0.001537957
LRC,SVMSMOTE,10%,0.933278601,0.00268683,0.932908788,0.002671574,0.932383416,0.002525202,0.996343287,0.000213795,0.96429466,0.001484186
